iter	Passed	Remaining
0	57	57178
1	57	28674
2	57	19168
3	57	14414
4	58	11560
5	58	9666
6	58	8308
7	58	7286
8	59	6497
9	59	5865
10	59	5350
11	59	4917
12	59	4549
13	60	4233
14	60	3959
15	60	3719
16	60	3509
17	60	3322
18	61	3154
19	61	3002
20	61	2866
21	61	2741
22	61	2628
23	62	2525
24	62	2430
25	62	2341
26	62	2259
27	62	2183
28	63	2112
29	63	2046
30	63	1986
31	63	1928
32	63	1873
33	64	1821
34	64	1773
35	64	1727
36	64	1684
37	64	1643
38	65	1604
39	65	1567
40	65	1533
41	65	1499
42	65	1467
43	66	1437
44	66	1408
45	66	1381
46	66	1356
47	67	1332
48	67	1310
49	67	1288
50	68	1267
51	68	1245
52	68	1224
53	68	1204
54	68	1184
55	69	1165
56	69	1147
57	69	1129
58	69	1112
59	69	1095
60	70	1079
61	70	1063
62	70	1048
63	70	1034
64	70	1020
65	71	1007
66	71	993
67	71	980
68	71	968
69	71	955
70	72	943
71	72	932
72	72	920
73	72	909
74	72	899
75	73	889
76	73	879
77	73	869
78	73	859
79	73	850
80	74	841
81	74	833
82	74	823
83	74	815
84	74	806
85	75	798
86	75	790
87	75	782
88	75	775
89	75	767
90	76	760
91	76	753
92	76	746
93	76	739
94	76	732
95	77	726
96	77	719
97	77	713
98	77	707
99	77	701
100	78	695
101	78	689
102	78	683
103	78	677
104	78	672
105	79	667
106	79	661
107	79	656
108	79	651
109	79	646
110	80	641
111	80	636
112	80	631
113	80	627
114	80	622
115	81	617
116	81	612
117	81	608
118	81	604
119	81	599
120	82	596
121	82	591
122	82	587
123	82	583
124	82	579
125	83	576
126	83	572
127	83	568
128	83	564
129	83	561
130	84	557
131	84	553
132	84	550
133	84	546
134	84	543
135	85	540
136	85	536
137	85	533
138	85	530
139	85	527
140	86	524
141	86	520
142	86	517
143	86	514
144	86	511
145	86	508
146	87	505
147	87	502
148	87	500
149	87	497
150	87	494
151	88	491
152	88	489
153	88	486
154	88	483
155	88	481
156	89	478
157	89	475
158	89	473
159	89	470
160	89	467
161	89	465
162	90	463
163	90	460
164	90	458
165	90	456
166	91	454
167	91	452
168	91	449
169	91	447
170	91	445
171	92	443
172	92	440
173	92	438
174	92	436
175	92	434
176	93	432
177	93	430
178	93	428
179	93	426
180	93	424
181	94	422
182	94	420
183	94	418
184	94	416
185	94	414
186	95	413
187	95	411
188	95	409
189	95	407
190	95	405
191	96	404
192	96	402
193	96	400
194	96	398
195	96	397
196	97	395
197	97	393
198	97	392
199	97	390
200	97	389
201	98	387
202	98	385
203	98	384
204	98	382
205	98	381
206	99	379
207	99	377
208	99	376
209	99	374
210	99	373
211	100	371
212	100	370
213	100	368
214	100	367
215	100	366
216	101	364
217	101	363
218	101	361
219	101	360
220	101	359
221	102	357
222	102	356
223	102	354
224	102	353
225	102	352
226	103	350
227	103	349
228	103	348
229	103	347
230	103	345
231	104	344
232	104	343
233	104	341
234	104	340
235	104	339
236	105	338
237	105	337
238	105	336
239	105	335
240	106	333
241	106	332
242	106	331
243	106	330
244	106	329
245	107	327
246	107	326
247	107	325
248	107	324
249	107	323
250	107	322
251	108	321
252	108	320
253	108	319
254	108	318
255	109	316
256	109	315
257	109	314
258	109	313
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	112	301
271	112	300
272	112	299
273	112	298
274	112	297
275	113	296
276	113	295
277	114	296
278	114	295
279	114	294
280	114	293
281	114	292
282	115	291
283	115	290
284	115	289
285	115	289
286	115	288
287	116	287
288	116	286
289	116	285
290	116	284
291	116	283
292	117	282
293	117	281
294	117	280
295	117	280
296	117	279
297	118	278
298	118	277
299	118	276
300	118	275
301	118	274
302	119	273
303	119	273
304	119	272
305	119	271
306	119	270
307	120	269
308	120	269
309	120	268
310	120	267
311	120	266
312	121	265
313	121	265
314	121	264
315	121	263
316	121	262
317	122	261
318	122	261
319	122	260
320	122	259
321	122	258
322	123	258
323	123	257
324	123	256
325	123	255
326	123	255
327	124	254
328	124	253
329	124	252
330	124	252
331	124	251
332	125	250
333	125	249
334	125	249
335	125	248
336	125	247
337	126	247
338	126	246
339	126	245
340	126	244
341	126	244
342	127	243
343	127	242
344	127	242
345	127	241
346	127	240
347	128	240
348	128	239
349	128	238
350	128	238
351	128	237
352	129	236
353	130	237
354	130	236
355	130	236
356	130	235
357	130	234
358	131	234
359	131	233
360	131	232
361	131	232
362	131	231
363	132	230
364	132	230
365	132	229
366	132	228
367	132	228
368	133	227
369	133	226
370	133	226
371	133	225
372	133	225
373	134	224
374	134	223
375	134	223
376	134	222
377	134	222
378	135	221
379	135	220
380	135	220
381	135	219
382	135	219
383	136	218
384	136	217
385	136	217
386	136	216
387	136	215
388	137	215
389	137	214
390	137	214
391	137	213
392	137	213
393	138	212
394	138	211
395	138	211
396	138	210
397	138	210
398	139	209
399	139	208
400	139	208
401	139	207
402	139	207
403	140	206
404	140	206
405	140	205
406	141	205
407	141	205
408	141	204
409	141	204
410	142	203
411	142	203
412	142	202
413	142	201
414	142	201
415	143	200
416	143	200
417	143	199
418	143	199
419	143	198
420	144	198
421	144	197
422	144	197
423	144	196
424	144	195
425	145	195
426	145	194
427	145	194
428	145	193
429	145	193
430	146	192
431	146	192
432	146	191
433	146	191
434	146	190
435	147	190
436	147	189
437	147	189
438	148	189
439	148	188
440	148	188
441	148	187
442	148	187
443	149	186
444	149	186
445	149	185
446	149	185
447	149	184
448	150	184
449	150	183
450	150	183
451	150	182
452	150	182
453	151	181
454	151	181
455	151	180
456	151	180
457	151	179
458	152	179
459	152	178
460	152	178
461	152	177
462	152	177
463	153	176
464	153	176
465	153	176
466	153	175
467	153	175
468	154	174
469	154	174
470	154	173
471	154	173
472	154	172
473	155	172
474	155	171
475	155	171
476	155	170
477	155	170
478	156	169
479	156	169
480	156	168
481	156	168
482	157	168
483	157	167
484	157	167
485	157	166
486	157	166
487	157	165
488	158	165
489	158	164
490	158	164
491	158	163
492	158	163
493	159	163
494	159	162
495	159	162
496	159	161
497	159	161
498	160	160
499	160	160
500	160	159
501	160	159
502	161	159
503	161	158
504	161	158
505	161	158
506	162	157
507	162	157
508	162	156
509	162	156
510	162	155
511	163	155
512	163	155
513	163	154
514	164	154
515	164	154
516	164	153
517	164	153
518	164	152
519	165	152
520	165	151
521	165	151
522	165	151
523	165	150
524	165	150
525	166	149
526	166	149
527	166	148
528	166	148
529	166	148
530	167	147
531	167	147
532	167	146
533	167	146
534	167	145
535	168	145
536	168	145
537	168	144
538	168	144
539	168	143
540	169	143
541	169	143
542	169	142
543	169	142
544	169	141
545	170	141
546	170	141
547	170	140
548	170	140
549	170	139
550	171	139
551	171	138
552	171	138
553	171	138
554	171	137
555	172	137
556	172	137
557	172	136
558	172	136
559	172	135
560	173	135
561	173	135
562	173	134
563	173	134
564	173	133
565	174	133
566	174	133
567	174	132
568	174	132
569	174	131
570	175	131
571	175	131
572	175	130
573	175	130
574	175	130
575	176	129
576	176	129
577	176	129
578	177	128
579	177	128
580	177	128
581	177	127
582	177	127
583	178	126
584	178	126
585	178	126
586	178	125
587	179	125
588	179	125
589	180	125
590	180	124
591	180	124
592	180	124
593	180	123
594	181	123
595	181	122
596	181	122
597	181	122
598	182	121
599	182	121
600	182	121
601	182	120
602	182	120
603	183	120
604	183	119
605	183	119
606	183	118
607	183	118
608	184	118
609	184	117
610	184	117
611	184	117
612	184	116
613	185	116
614	185	115
615	185	115
616	185	115
617	185	114
618	186	114
619	186	114
620	186	113
621	186	113
622	186	113
623	186	112
624	187	112
625	187	111
626	187	111
627	187	111
628	188	110
629	188	110
630	188	110
631	188	109
632	188	109
633	189	109
634	189	108
635	189	108
636	190	108
637	190	108
638	190	107
639	190	107
640	191	106
641	191	106
642	191	106
643	191	105
644	191	105
645	192	105
646	192	104
647	192	104
648	192	104
649	192	103
650	193	103
651	193	103
652	193	102
653	193	102
654	194	102
655	194	101
656	194	101
657	194	101
658	194	100
659	195	100
660	195	100
661	195	99
662	195	99
663	196	99
664	196	98
665	196	98
666	196	98
667	196	97
668	197	97
669	197	97
670	197	96
671	197	96
672	197	96
673	198	95
674	198	95
675	198	95
676	198	94
677	198	94
678	199	94
679	199	93
680	199	93
681	199	93
682	199	92
683	200	92
684	200	92
685	200	91
686	200	91
687	200	91
688	201	90
689	201	90
690	201	90
691	201	89
692	201	89
693	202	89
694	202	88
695	202	88
696	202	88
697	203	87
698	203	87
699	203	87
700	203	86
701	204	86
702	204	86
703	204	85
704	204	85
705	204	85
706	205	85
707	205	84
708	205	84
709	205	84
710	205	83
711	206	83
712	206	83
713	206	82
714	206	82
715	206	82
716	207	81
717	207	81
718	207	81
719	207	80
720	207	80
721	208	80
722	208	79
723	208	79
724	209	79
725	209	78
726	209	78
727	209	78
728	210	78
729	210	77
730	210	77
731	210	77
732	210	76
733	211	76
734	211	76
735	211	75
736	211	75
737	211	75
738	212	74
739	212	74
740	212	74
741	212	73
742	212	73
743	213	73
744	213	73
745	213	72
746	213	72
747	213	72
748	214	71
749	214	71
750	214	71
751	214	70
752	214	70
753	214	70
754	215	69
755	215	69
756	215	69
757	215	68
758	215	68
759	216	68
760	216	67
761	216	67
762	216	67
763	217	67
764	217	66
765	217	66
766	217	66
767	217	65
768	217	65
769	218	65
770	218	64
771	218	64
772	218	64
773	218	63
774	219	63
775	219	63
776	219	63
777	219	62
778	219	62
779	220	62
780	220	61
781	220	61
782	220	61
783	220	60
784	221	60
785	221	60
786	221	59
787	221	59
788	221	59
789	222	59
790	222	58
791	222	58
792	222	58
793	223	57
794	223	57
795	223	57
796	223	57
797	224	56
798	224	56
799	224	56
800	224	55
801	224	55
802	225	55
803	225	54
804	225	54
805	225	54
806	226	54
807	226	53
808	226	53
809	226	53
810	226	52
811	227	52
812	227	52
813	227	52
814	227	51
815	228	51
816	228	51
817	228	50
818	228	50
819	228	50
820	229	49
821	229	49
822	229	49
823	229	49
824	229	48
825	230	48
826	230	48
827	230	47
828	230	47
829	230	47
830	231	47
831	231	46
832	231	46
833	231	46
834	231	45
835	232	45
836	232	45
837	232	44
838	232	44
839	233	44
840	233	44
841	233	43
842	233	43
843	233	43
844	234	42
845	234	42
846	234	42
847	234	42
848	234	41
849	234	41
850	235	41
851	235	40
852	235	40
853	235	40
854	235	40
855	236	39
856	236	39
857	236	39
858	237	38
859	237	38
860	237	38
861	237	38
862	237	37
863	238	37
864	238	37
865	238	36
866	238	36
867	238	36
868	239	36
869	239	35
870	239	35
871	239	35
872	240	34
873	240	34
874	240	34
875	240	34
876	241	33
877	241	33
878	241	33
879	241	32
880	241	32
881	242	32
882	242	32
883	242	31
884	242	31
885	242	31
886	243	30
887	243	30
888	243	30
889	243	30
890	243	29
891	244	29
892	244	29
893	244	28
894	244	28
895	244	28
896	245	28
897	245	27
898	245	27
899	245	27
900	245	27
901	246	26
902	246	26
903	246	26
904	246	25
905	246	25
906	247	25
907	247	25
908	247	24
909	247	24
910	247	24
911	248	23
912	248	23
913	248	23
914	248	23
915	248	22
916	249	22
917	249	22
918	249	21
919	249	21
920	249	21
921	250	21
922	250	20
923	250	20
924	250	20
925	250	20
926	251	19
927	251	19
928	251	19
929	251	18
930	251	18
931	252	18
932	252	18
933	252	17
934	252	17
935	252	17
936	253	17
937	253	16
938	253	16
939	253	16
940	254	15
941	254	15
942	254	15
943	254	15
944	255	14
945	255	14
946	255	14
947	255	14
948	256	13
949	256	13
950	256	13
951	256	12
952	256	12
953	257	12
954	257	12
955	257	11
956	257	11
957	258	11
958	258	11
959	258	10
960	258	10
961	259	10
962	259	9
963	259	9
964	259	9
965	260	9
966	260	8
967	260	8
968	260	8
969	261	8
970	261	7
971	261	7
972	261	7
973	261	6
974	262	6
975	262	6
976	262	6
977	262	5
978	262	5
979	263	5
980	263	5
981	263	4
982	263	4
983	263	4
984	264	4
985	264	3
986	264	3
987	264	3
988	264	2
989	264	2
990	265	2
991	265	2
992	265	1
993	265	1
994	266	1
995	266	1
996	266	0
997	266	0
998	266	0
999	267	0
